sensitivity,specificity,sample_size,misrate,p_80
0.8,0.8,100,0,0.5896
0.8,0.8,250,0.18,0.8006
0.8,0.8,500,0.42,0.8021
0.8,0.8,1000,0.59,0.8134
0.8,0.8,2500,0.74,0.8176
0.8,0.8,5000,0.81,0.8365
0.8,0.9,100,0,0.7353
0.8,0.9,250,0.32,0.8091
0.8,0.9,500,0.52,0.8156
0.8,0.9,1000,0.67,0.8071
0.8,0.9,2500,0.79,0.8114
0.8,0.9,5000,0.85,0.8203
0.8,0.925,100,0,0.7732
0.8,0.925,250,0.36,0.8019
0.8,0.925,500,0.55,0.8152
0.8,0.925,1000,0.68,0.8182
0.8,0.925,2500,0.8,0.8201
0.8,0.925,5000,0.86,0.8194
0.8,0.975,100,0.06,0.8063
0.8,0.975,250,0.42,0.8055
0.8,0.975,500,0.59,0.8155
0.8,0.975,1000,0.72,0.8029
0.8,0.975,2500,0.82,0.8262
0.8,0.975,5000,0.87,0.8464
0.8,1,100,0.11,0.8042
0.8,1,250,0.45,0.8049
0.8,1,500,0.62,0.8052
0.8,1,1000,0.73,0.8275
0.8,1,2500,0.83,0.8332
0.8,1,5000,0.88,0.8339
0.9,0.8,100,0,0.7234
0.9,0.8,250,0.29,0.8043
0.9,0.8,500,0.5,0.8036
0.9,0.8,1000,0.64,0.8129
0.9,0.8,2500,0.78,0.8004
0.9,0.8,5000,0.84,0.823
0.9,0.9,100,0.04,0.8056
0.9,0.9,250,0.39,0.8116
0.9,0.9,500,0.57,0.8217
0.9,0.9,1000,0.7,0.8108
0.9,0.9,2500,0.81,0.8244
0.9,0.9,5000,0.87,0.8047
0.9,0.925,100,0.08,0.8101
0.9,0.925,250,0.42,0.8103
0.9,0.925,500,0.59,0.8179
0.9,0.925,1000,0.71,0.8239
0.9,0.925,2500,0.82,0.8123
0.9,0.925,5000,0.87,0.8378
0.9,0.975,100,0.15,0.8071
0.9,0.975,250,0.47,0.8066
0.9,0.975,500,0.63,0.8074
0.9,0.975,1000,0.74,0.8189
0.9,0.975,2500,0.84,0.8068
0.9,0.975,5000,0.88,0.855
0.9,1,100,0.19,0.8023
0.9,1,250,0.5,0.8052
0.9,1,500,0.65,0.8045
0.9,1,1000,0.75,0.8207
0.9,1,2500,0.84,0.8388
0.9,1,5000,0.89,0.8243
0.925,0.8,100,0,0.7513
0.925,0.8,250,0.31,0.807
0.925,0.8,500,0.51,0.815
0.925,0.8,1000,0.65,0.8205
0.925,0.8,2500,0.78,0.824
0.925,0.8,5000,0.84,0.8429
0.925,0.9,100,0.07,0.8076
0.925,0.9,250,0.41,0.8102
0.925,0.9,500,0.59,0.8055
0.925,0.9,1000,0.71,0.8107
0.925,0.9,2500,0.81,0.8435
0.925,0.9,5000,0.87,0.8225
0.925,0.925,100,0.09,0.8044
0.925,0.925,250,0.43,0.818
0.925,0.925,500,0.6,0.8128
0.925,0.925,1000,0.72,0.8149
0.925,0.925,2500,0.82,0.8333
0.925,0.925,5000,0.87,0.8517
0.925,0.975,100,0.17,0.8001
0.925,0.975,250,0.48,0.8164
0.925,0.975,500,0.64,0.8072
0.925,0.975,1000,0.74,0.8333
0.925,0.975,2500,0.84,0.828
0.925,0.975,5000,0.89,0.8041
0.925,1,100,0.2,0.8016
0.925,1,250,0.51,0.8026
0.925,1,500,0.66,0.8009
0.925,1,1000,0.76,0.8125
0.925,1,2500,0.85,0.8135
0.925,1,5000,0.89,0.8455
0.975,0.8,100,0,0.8018
0.975,0.8,250,0.36,0.8098
0.975,0.8,500,0.54,0.8101
0.975,0.8,1000,0.67,0.8203
0.975,0.8,2500,0.79,0.8287
0.975,0.8,5000,0.85,0.8405
0.975,0.9,100,0.11,0.8122
0.975,0.9,250,0.43,0.8181
0.975,0.9,500,0.61,0.8025
0.975,0.9,1000,0.72,0.819
0.975,0.9,2500,0.82,0.843
0.975,0.9,5000,0.87,0.8546
0.975,0.925,100,0.14,0.8116
0.975,0.925,250,0.46,0.8131
0.975,0.925,500,0.62,0.8125
0.975,0.925,1000,0.73,0.8233
0.975,0.925,2500,0.83,0.8246
0.975,0.925,5000,0.88,0.8319
0.975,0.975,100,0.2,0.8079
0.975,0.975,250,0.5,0.8066
0.975,0.975,500,0.65,0.8163
0.975,0.975,1000,0.75,0.824
0.975,0.975,2500,0.85,0.8091
0.975,0.975,5000,0.89,0.8326
0.975,1,100,0.23,0.8069
0.975,1,250,0.52,0.8124
0.975,1,500,0.67,0.8043
0.975,1,1000,0.77,0.8122
0.975,1,2500,0.85,0.832
0.975,1,5000,0.9,0.8027
1,0.8,100,0.03,0.8089
1,0.8,250,0.38,0.8084
1,0.8,500,0.56,0.8059
1,0.8,1000,0.68,0.8176
1,0.8,2500,0.8,0.815
1,0.8,5000,0.86,0.814
1,0.9,100,0.13,0.8178
1,0.9,250,0.45,0.8089
1,0.9,500,0.61,0.8151
1,0.9,1000,0.73,0.8138
1,0.9,2500,0.83,0.8101
1,0.9,5000,0.88,0.8174
1,0.925,100,0.17,0.8005
1,0.925,250,0.47,0.8141
1,0.925,500,0.63,0.8142
1,0.925,1000,0.74,0.8147
1,0.925,2500,0.84,0.8028
1,0.925,5000,0.88,0.8485
1,0.975,100,0.22,0.8018
1,0.975,250,0.51,0.818
1,0.975,500,0.66,0.807
1,0.975,1000,0.76,0.8187
1,0.975,2500,0.85,0.8067
1,0.975,5000,0.89,0.8442
1,1,100,0.25,0.8026
1,1,250,0.54,0.8035
1,1,500,0.67,0.8256
1,1,1000,0.77,0.8156
1,1,2500,0.85,0.8501
1,1,5000,0.9,0.8132
